country,year,sex,age,suicides_no,population,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation,suicides/100k pop
Albania,1987,male,15-24 years,21,312900,Albania1987,,"2,15,66,24,900",796,Generation X,6.71
Albania,1987,male,35-54 years,16,308000,Albania1987,,"2,15,66,24,900",796,Silent,5.19
Albania,1987,female,15-24 years,14,289700,Albania1987,,"2,15,66,24,900",796,Generation X,4.83
Albania,1987,male,75+ years,1,21800,Albania1987,,"2,15,66,24,900",796,G.I. Generation,4.59
Albania,1987,male,25-34 years,9,274300,Albania1987,,"2,15,66,24,900",796,Boomers,3.28
Albania,1987,female,75+ years,1,35600,Albania1987,,"2,15,66,24,900",796,G.I. Generation,2.81
Albania,1987,female,35-54 years,6,278800,Albania1987,,"2,15,66,24,900",796,Silent,2.15
Albania,1987,female,25-34 years,4,257200,Albania1987,,"2,15,66,24,900",796,Boomers,1.56
Albania,1987,male,55-74 years,1,137500,Albania1987,,"2,15,66,24,900",796,G.I. Generation,0.73
Albania,1987,female,5-14 years,0,311000,Albania1987,,"2,15,66,24,900",796,Generation X,0
Albania,1987,female,55-74 years,0,144600,Albania1987,,"2,15,66,24,900",796,G.I. Generation,0
Albania,1987,male,5-14 years,0,338200,Albania1987,,"2,15,66,24,900",796,Generation X,0
Albania,1988,female,75+ years,2,36400,Albania1988,,"2,12,60,00,000",769,G.I. Generation,5.49
Albania,1988,male,15-24 years,17,319200,Albania1988,,"2,12,60,00,000",769,Generation X,5.33
Albania,1988,male,75+ years,1,22300,Albania1988,,"2,12,60,00,000",769,G.I. Generation,4.48
Albania,1988,male,35-54 years,14,314100,Albania1988,,"2,12,60,00,000",769,Silent,4.46
Albania,1988,male,55-74 years,4,140200,Albania1988,,"2,12,60,00,000",769,G.I. Generation,2.85
Albania,1988,female,15-24 years,8,295600,Albania1988,,"2,12,60,00,000",769,Generation X,2.71
Albania,1988,female,55-74 years,3,147500,Albania1988,,"2,12,60,00,000",769,G.I. Generation,2.03
Albania,1988,female,25-34 years,5,262400,Albania1988,,"2,12,60,00,000",769,Boomers,1.91
Albania,1988,male,25-34 years,5,279900,Albania1988,,"2,12,60,00,000",769,Boomers,1.79
Albania,1988,female,35-54 years,4,284500,Albania1988,,"2,12,60,00,000",769,Silent,1.41
Albania,1988,female,5-14 years,0,317200,Albania1988,,"2,12,60,00,000",769,Generation X,0
Albania,1988,male,5-14 years,0,345000,Albania1988,,"2,12,60,00,000",769,Generation X,0
Albania,1989,male,75+ years,2,22500,Albania1989,,"2,33,51,24,988",833,G.I. Generation,8.89
Albania,1989,male,25-34 years,18,283600,Albania1989,,"2,33,51,24,988",833,Boomers,6.35
Albania,1989,male,35-54 years,15,318400,Albania1989,,"2,33,51,24,988",833,Silent,4.71
Albania,1989,male,55-74 years,6,142100,Albania1989,,"2,33,51,24,988",833,G.I. Generation,4.22
Albania,1989,male,15-24 years,12,323500,Albania1989,,"2,33,51,24,988",833,Generation X,3.71
Albania,1989,female,35-54 years,7,288600,Albania1989,,"2,33,51,24,988",833,Silent,2.43
Albania,1989,female,15-24 years,5,299900,Albania1989,,"2,33,51,24,988",833,Generation X,1.67
Albania,1989,female,25-34 years,2,266300,Albania1989,,"2,33,51,24,988",833,Boomers,0.75
Albania,1989,female,55-74 years,1,149600,Albania1989,,"2,33,51,24,988",833,G.I. Generation,0.67
Albania,1989,female,5-14 years,0,321900,Albania1989,,"2,33,51,24,988",833,Generation X,0
Albania,1989,female,75+ years,0,37000,Albania1989,,"2,33,51,24,988",833,G.I. Generation,0
